"description","code","year"
"Aubergine","AUB","2018"
"Avocat","AVO","2018"
"Betterave non fourragère / Bette","BTN","2018"
"Carotte","CAR","2018"
"Céleri","CEL","2018"
"Chicorée / Endive / Scarole","CES","2018"
"Chou","CHU","2018"
"Concombre / Cornichon","CCN","2018"
"Courge musquée/Butternut","CMB","2018"
"Courgette / Citrouille","CCT","2018"
"Cresson","CRS","2018"
"Epinard","EPI","2018"
"Fève","FEV","2018"
"Fraise","FRA","2018"
"Haricot / Flageolet","HAR","2018"
"Houblon","HBL","2018"
"Laitue / Batavia / Feuille de chêne","LBF","2018"
"Mâche","MAC","2018"
"Lotier implanté pour la récolte 2018","L08","2018"
"Autre lotier","LOT","2018"
"Minette implanté pour la récolte 2017","MI7","2018"
"Minette implanté pour la récolte 2018","MI8","2018"
"Autre minette","MIN","2018"
"Pois chiche","PCH","2018"
"Orge de printemps","ORP","2017"
"Riz","RIZ","2017"
"Sarrasin","SRS","2017"
"Seigle d'hiver","SGH","2017"
"Seigle de printemps","SGP","2017"
"Sorgho","SOG","2017"
"Triticale d'hiver","TTH","2017"
"Triticale de printemps","TTP","2017"
"Autre céréale d'hiver de genre Avena","CHA","2017"
"Autre céréale d'hiver de genre Hordeum","CHH","2017"
"Autre céréale d'hiver de genre Secale","CHS","2017"
"Autre céréale d'hiver de genre Triticum","CHT","2017"
"Autre céréale de printemps de genre Avena","CPA","2017"
"Autre céréale de printemps de genre Hordeum","CPH","2017"
"Jachère de 5 ans ou moins","J5M","2017"
"Jachère de 6 ans ou plus déclarée comme SIE","J6S","2017"
"Jachère de 6 ans ou plus","J6P","2017"
"Jachère noire","JNO","2017"
"Soja","SOJ","2017"
"Tournesol","TRN","2017"
"Autre oléagineux d'hiver d'espèce Brassica napus","OHN","2017"
"Autre oléagineux d'hiver d'espèce Brassica rapa","OHR","2017"
"Autre oléagineux de printemps d'espèce Brassica napus","OPN","2017"
"Autre oléagineux de printemps d'espèce Brassica rapa","OPR","2017"
"Autre oléagineux d'espèce Helianthus","OEH","2017"
"Autre oléagineux d'un autre genre *","OAG","2017"
"Mélange d'oléagineux","MOL","2017"
"Sainfoin implanté pour la récolte 2015","SA5","2017"
"Sainfoin implanté pour la récolte 2016","SA6","2017"
"Sainfoin implanté pour la récolte 2017","SA7","2017"
"Autre sainfoin","SAI","2017"
"Serradelle implantée pour la récolte 2015","SE5","2017"
"Serradelle implantée pour la récolte 2016","SE6","2017"
"Serradelle implantée pour la récolte 2017","SE7","2017"
"Autre serradelle","SER","2017"
"Trèfle implanté pour la récolte 2015","TR5","2017"
"Trèfle implanté pour la récolte 2016","TR6","2017"
"Trèfle implanté pour la récolte 2017","TR7","2017"
"Autre trèfle","TRE","2017"
"Vesce implantée pour la récolte 2015","VE5","2017"
"Vesce implantée pour la récolte 2016","VE6","2017"
"Vesce implantée pour la récolte 2017","VE7","2017"
"Autre vesce","VES","2017"
"Mélange de légumineuses fourragères * implantées pour la récolte 2015 (entre elles)","ML5","2017"
"Mélange de légumineuses fourragères * implantées pour la récolte 2016 (entre elles)","ML6","2017"
"Mélange de légumineuses fourragères * implantées pour la récolte 2017 (entre elles)","ML7","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2015 et de céréales","MC5","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2016 et de céréales","MC6","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2017 et de céréales er d'oléagineux","MC7","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2015 et d'herbacées ou de graminées fourragères","MH5","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2016 et d'herbacées ou de graminées fourragères","MH6","2017"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2017 et d'herbacées ou de graminées fourragères","MH7","2017"
"Féverole fourragère implantée pour la récolte 2015","FF5","2017"
"Féverole fourragère implantée pour la récolte 2016","FF6","2017"
"Féverole fourragère implantée pour la récolte 2017","FF7","2017"
"Autre féverole fourragère","FFO","2017"
"Jarosse implantée pour la récolte 2015","J05","2017"
"Jarosse implantée pour la récolte 2016","J06","2017"
"Jarosse implantée pour la récolte 2017","J07","2017"
"Autre jarosse","JOS","2017"
"Lupin fourrager d'hiver implanté pour la récolte 2015","LH5","2017"
"Lupin fourrager d'hiver implanté pour la récolte 2016","LH6","2017"
"Lupin fourrager d'hiver implanté pour la récolte 2017","LH7","2017"
"Autre lupin fourrager d'hiver","LFH","2017"
"Lupin fourrager de printemps implanté pour la récolte 2015","LP5","2017"
"Lupin fourrager de printemps implanté pour la récolte 2016","LP6","2017"
"Lupin fourrager de printemps implanté pour la récolte 2017","LP7","2017"
"Autre lupin fourrager de printemps","LFP","2017"
"Luzerne implantée pour la récolte 2015","LU5","2017"
"Luzerne implantée pour la récolte 2016","LU6","2017"
"Luzerne implantée pour la récolte 2017","LU7","2017"
"Autre luzerne","LUZ","2017"
"Mélilot implanté pour la récolte 2015","ME5","2017"
"Mélilot implanté pour la récolte 2016","ME6","2017"
"Mélilot implanté pour la récolte 2017","ME7","2017"
"Autre mélilot","MEL","2017"
"Pois fourrager d'hiver implanté pour la récolte 2015","PH5","2017"
"Pois fourrager d'hiver implanté pour la récolte 2016","PH6","2017"
"Pois fourrager d'hiver implanté pour la récolte 2017","PH7","2017"
"Autre pois fourrager d'hiver","PFH","2017"
"Pois fourrager de printemps implanté pour la récolte 2015","PP5","2017"
"Pois fourrager de printemps implanté pour la récolte 2016","PP6","2017"
"Pois fourrager de printemps implanté pour la récolte 2017","PP7","2017"
"Autre pois fourrager de printemps","PFP","2017"
"Petit fruit rouge *","PFR","2017"
"Pistache","PIS","2017"
"Poire Williams pour transformation","PWT","2017"
"Prune d'Ente pour transformation","PRU","2017"
"Verger (fruits non transformés)","VRG","2017"
"Vigne raisins de cuve","VRC","2017"
"Vigne raisins de table","VRT","2017"
"Restructuration du vignoble","RVI","2017"
"Phacélie de 5 ans ou moins","PCL","2017"
"Ray-grass de 5 ans ou moins","RGA","2017"
"X-Festulolium de 5 ans ou moins","XFE","2017"
"Autre graminée fourragère pure de 5 ans ou moins","GFP","2017"
"Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins","MLG","2017"
"Autre prairie temporaire de 5 ans ou moins","PTR","2017"
"Aneth","ANE","2017"
"Angélique","ANG","2017"
"Anis","ANI","2017"
"Bardane","BAR","2017"
"Basilic","BAS","2017"
"Bleuet","BLT","2017"
"Bugle rampant","BUR","2017"
"Camomille","CMM","2017"
"Carvi","CAV","2017"
"Cerfeuil","CRF","2017"
"Chardon Marie","CHR","2017"
"Ciboulette","CIB","2017"
"Coriandre","CRD","2017"
"Cumin","CUM","2017"
"Estragon","EST","2017"
"Fenouil","FNO","2017"
"Gaillet","GAI","2017"
"Lavande/Lavandin","LAV","2017"
"Marguerite","MRG","2017"
"Marjolaine / Origan","MRJ","2017"
"Mauve","MAV","2017"
"Cameline","CML","2017"
"Colza d'hiver","CZH","2017"
"Colza de printemps","CZP","2017"
"Lin non textile d'hiver","LIH","2017"
"Lin non textile de printemps","LIP","2017"
"Moutarde","MOT","2017"
"Navette d'été","NVE","2017"
"Navette d'hiver","NVH","2017"
"Nyger","NYG","2017"
"Œillette","OEI","2017"
"Chanvre","CHV","2017"
"Autre céréale de genre Fagopyrum","CGF","2017"
"Autre céréale d'un autre genre *","CAG","2017"
"Mélange de céréales","MCR","2017"
"Betterave fourragère","BVF","2017"
"Carotte fourragère","CAF","2017"
"Chou fourrager","CHF","2017"
"Lentille fourragère","LEF","2017"
"Navet fourrager","NVF","2017"
"Radis fourrager","RDF","2017"
"Avoine d'hiver","AVH","2017"
"Avoine de printemps","AVP","2017"
"Blé dur d'hiver","BDH","2017"
"Blé dur de printemps","BDP","2017"
"Blé dur de printemps semé tardivement","BDT","2017"
"Blé tendre d'hiver","BTH","2017"
"Blé tendre de printemps","BTP","2017"
"Épeautre","EPE","2017"
"Maïs doux","MID","2017"
"Maïs ensilage","MIE","2017"
"Maïs","MIS","2017"
"Millet","MLT","2017"
"Moha","MOH","2017"
"Orge d'hiver","ORH","2017"
"Autre céréale de printemps de genre Secale","CPS","2017"
"Autre céréale de printemps de genre Triticum","CPT","2017"
"Autre céréale de printemps de genre Zea","CPZ","2017"
"Autre céréale de genre Phalaris","CGH","2017"
"Autre céréale de genre Panicum","CGP","2017"
"Autre céréale de genre Sorghum","CGO","2017"
"Autre céréale de genre Setaria","CGS","2017"
"Bande admissible le long d'une forêt avec production","BFP","2017"
"Bande admissible le long d'une forêt sans production","BFS","2017"
"Bande tampon","BTA","2017"
"Bordure de champ","BOR","2017"
"Cultures conduites en inter- rangs 2 cultures représentant chacune plus de 25%","CID","2017"
"Cultures conduites en interrangs 3 cultures repré- sentant chacune plus de 25%","CIT","2017"
"Prairie en rotation longue (6 ans ou plus)","PRL","2017"
"Prairie permanente herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes)","PPH","2017"
"Surface pastorale ressources fourragères ligneuses prédominantes (ATTENTION code mobilisable uniquement dans les départements 04, 05, 06, 07, 09, 11, 12, 13, 15, 2A, 2B, 26, 30, 31, 34, 38, 46, 48, 64, 65, 66, 83 et 84)","SPL","2017"
"Surface pastorale herbe prédominante et ressources fourragères ligneuses présentes","SPH","2017"
"Lotier implanté pour la récolte 2017","L07","2017"
"Autre lotier","LOT","2017"
"Minette implanté pour la récolte 2017","MI7","2017"
"Autre minette","MIN","2017"
"Pois chiche","PCH","2017"
"Féverole","FVL","2017"
"Jarosse déshydratée","JOD","2017"
"Lupin doux d'hiver","LDH","2017"
"Lupin doux de printemps","LDP","2017"
"Luzerne déshydratée","LUD","2017"
"Mélilot déshydraté","MED","2017"
"Pois d'hiver","PHI","2017"
"Pois de printemps","PPR","2017"
"Sainfoin déshydraté","SAD","2017"
"Agrume","AGR","2017"
"Caroube","CAB","2017"
"Cerise bigarreau pour transformation","CBT","2017"
"Châtaigne","CTG","2017"
"Noisette","NOS","2017"
"Noix","NOX","2017"
"Oliveraie","OLI","2017"
"Pêche Pavie pour transformation","PVT","2017"
"Pépinière","PEP","2017"
"Ananas","ANA","2017"
"Banane créole (fruit et légume) autre","BCA","2017"
"Banane créole (fruit et légume) fermage","BCF","2017"
"Banane créole (fruit et légume) indivision","BCI","2017"
"Banane créole (fruit et légume) propriété ou faire valoir direct","BCP","2017"
"Banane créole (fruit et légume) réforme foncière","BCR","2017"
"Banane export autre","BEA","2017"
"Banane export fermage","BEF","2017"
"Banane export indivision","BEI","2017"
"Banane export propriété ou faire valoir direct","BEP","2017"
"Banane export réforme foncière","BER","2017"
"Café / Cacao","CAC","2017"
"Canne à sucre autre","CSA","2017"
"Canne à sucre fermage","CSF","2017"
"Canne à sucre indivision","CSI","2017"
"Canne à sucre propriété ou faire valoir direct","CSP","2017"
"Canne à sucre réforme foncière","CSR","2017"
"Bourrache de 5 ans ou moins","BRH","2017"
"Brôme de 5 ans ou moins","BRO","2017"
"Cresson alénois de 5 ans ou moins","CRA","2017"
"Dactyle de 5 ans ou moins","DTY","2017"
"Fétuque de 5 ans ou moins","FET","2017"
"Fléole de 5 ans ou moins","FLO","2017"
"Paturin commun de 5 ans ou moins","PAT","2017"
"Autre mélange de plantes fixant l'azote","MPA","2017"
"Miscanthus","MCT","2017"
"Culture sous serre hors sol","CSS","2017"
"Taillis à courte rotation","TCR","2017"
"Truffière (chênaie de plants mycorhizés)","TRU","2017"
"Surface boisée sur une ancienne terre agricole","SBO","2017"
"Surface agricole temporairement non exploitée","SNE","2017"
"Marais salant","MRS","2017"
"Autre plante fourragère sarclée d'un autre genre","FSG","2017"
"Autre fourrage annuel d'un autre genre *","FAG","2017"
"Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%)","CPL","2017"
"Mélisse","MLI","2017"
"Menthe","MTH","2017"
"Millepertuis","MLP","2017"
"Oseille","OSE","2017"
"Ortie","ORT","2017"
"Pâquerette","PAQ","2017"
"Pensée","PSE","2017"
"Persil","PSL","2017"
"Plantain psyllium","PSY","2017"
"Primevère","PMV","2017"
"Psyllium noir de Provence","PSN","2017"
"Romarin","ROM","2017"
"Sariette","SRI","2017"
"Sauge","SGE","2017"
"Thym","THY","2017"
"Valériane","VAL","2017"
"Véronique","VER","2017"
"Autres plantes ornementales et PPAM annuelles","PPA","2017"
"Autres plantes ornementales et PPAM pérennes *","PPP","2017"
"Serradelle déshydratée","SED","2017"
"Trèfle déshydraté","TRD","2017"
"Vesce déshydratée","VED","2017"
"Autre protéagineux d'un autre genre *","PAG","2017"
"Mélange de légumineuses déshydratées ** (entre elles)","MLD","2017"
"Mélange de protéagineux prépondérants (pois et/ou lupin et/ou féverole) et de céréales","MPC","2017"
"Bois pâturé","BOP","2017"
"Châtaigneraie entretenue par des porcins ou des petits ruminants (ATTENTION code mobi- lisable uniquement en Corse et Petite région des causses cévenols et méridionaux)","CAE","2017"
"Chênaie entretenue par des porcins ou des petits ruminants (ATTENTION code mobili- sable uniquement en Corse et Petite région des causses cévenols et méridionaux)","CEE","2017"
"Roselière","Roselière","Roselière"
"Lin fibres","Lin fibres","Lin fibres"
"Ail","AIL","2017"
"Artichaut","ART","2017"
"Aubergine","AUB","2017"
"Avocat","AVO","2017"
"Betterave non fourragère / Bette","BTN","2017"
"Carotte","CAR","2017"
"Céleri","CEL","2017"
"Chicorée / Endive / Scarole","CES","2017"
"Chou","CHU","2017"
"Concombre / Cornichon","CCN","2017"
"Courge musquée/Butternut","CMB","2017"
"Courgette / Citrouille","CCT","2017"
"Cresson","CRS","2017"
"Epinard","EPI","2017"
"Fève","FEV","2017"
"Fraise","FRA","2017"
"Haricot / Flageolet","HAR","2017"
"Houblon","HBL","2017"
"Laitue / Batavia / Feuille de chêne","LBF","2017"
"Mâche","MAC","2017"
"Culture sous abattis","CUA","2017"
"Curcuma","CUR","2017"
"Géranium","GER","2017"
"Horticulture ornementale de plein champ","HPC","2017"
"Horticulture ornementale sous abri","HSA","2017"
"Légume sous abri","LSA","2017"
"Plante à parfum (autre que géranium et vétiver)","PPF","2017"
"Plante aromatique (autre que vanille)","PAR","2017"
"Plante médicinale","PMD","2017"
"Tubercule tropical","TBT","2017"
"Vanille","VNL","2017"
"Vanille sous bois","VNB","2017"
"Vanille verte","VNV","2017"
"Verger (DOM)","VGD","2017"
"Vétiver","VET","2017"
"Ylang-ylang","YLA","2017"
"Autre culture non précisée dans la liste (admissible)","ACA","2017"
"Melon","MLO","2017"
"Navet","NVT","2017"
"Oignon / Echalotte","OIG","2017"
"Panais","PAN","2017"
"Pastèque","PAS","2017"
"Petits pois","PPO","2017"
"Poireau","POR","2017"
"Poivron / Piment","PVP","2017"
"Pomme de terre de consommation","PTC","2017"
"Pomme de terre féculière","PTF","2017"
"Potiron / Potimarron","POT","2017"
"Radis","RDI","2017"
"Roquette","ROQ","2017"
"Rutabaga","RUT","2017"
"Salsifis","SFI","2017"
"Tabac","TAB","2017"
"Tomate","TOM","2017"
"Tomate pour transformation","TOT","2017"
"Topinambour","TOP","2017"
"Autre légume ou fruit annuel","FLA","2017"
"Autre légume ou fruit pérenne *","FLP","2017"
"Arachide","ARA","2017"
"Cornille","CRN","2017"
"Dolique","DOL","2017"
"Fenugrec","FNU","2017"
"Gesse","GES","2017"
"Lentille cultivée (non fourragère)","LEC","2017"
"Avoine d'hiver","AVH","2016"
"Avoine de printemps","AVP","2016"
"Blé dur d'hiver","BDH","2016"
"Blé dur de printemps","BDP","2016"
"Blé dur de printemps semé tardivement","BDT","2016"
"Blé tendre d'hiver","BTH","2016"
"Blé tendre de printemps","BTP","2016"
"Épeautre","EPE","2016"
"Maïs doux","MID","2016"
"Maïs ensilage","MIE","2016"
"Maïs","MIS","2016"
"Millet","MLT","2016"
"Moha","MOH","2016"
"Orge d'hiver","ORH","2016"
"Autre céréale de printemps de genre Secale","CPS","2016"
"Autre céréale de printemps de genre Triticum","CPT","2016"
"Autre céréale de printemps de genre Zea","CPZ","2016"
"Autre céréale de genre Phalaris","CGH","2016"
"Autre céréale de genre Panicum","CGP","2016"
"Autre céréale de genre Sorghum","CGO","2016"
"Autre céréale de genre Setaria","CGS","2016"
"Serradelle déshydratée","SED","2016"
"Trèfle déshydraté","TRD","2016"
"Vesce déshydratée","VED","2016"
"Autre protéagineux d'un autre genre *","PAG","2016"
"Mélange de légumineuses déshydratées ** (entre elles)","MLD","2016"
"Mélange de protéagineux prépondérants (pois et/ou lupin et/ou féverole) et de céréales","MPC","2016"
"Lentille cultivée (non fourragère)","LEC","2016"
"Lotier","LOT","2016"
"Minette","MIN","2016"
"Pois chiche","PCH","2016"
"Arachide","ARA","2016"
"Cornille","CRN","2016"
"Dolique","DOL","2016"
"Fenugrec","FNU","2016"
"Gesse","GES","2016"
"Petit fruit rouge *","PFR","2016"
"Pistache","PIS","2016"
"Poire Williams pour transformation","PWT","2016"
"Prune d'Ente pour transformation","PRU","2016"
"Verger (fruits non transformés)","VRG","2016"
"Vigne raisins de cuve","VRC","2016"
"Vigne raisins de table","VRT","2016"
"Restructuration du vignoble","RVI","2016"
"Ail","AIL","2016"
"Artichaut","ART","2016"
"Aubergine","AUB","2016"
"Avocat","AVO","2016"
"Betterave non fourragère / Bette","BTN","2016"
"Carotte","CAR","2016"
"Céleri","CEL","2016"
"Chicorée / Endive / Scarole","CES","2016"
"Chou","CHU","2016"
"Concombre / Cornichon","CCN","2016"
"Courge musquée / Butternut","CMB","2016"
"Courgette / Citrouille","CCT","2016"
"Cresson","CRS","2016"
"Epinard","EPI","2016"
"Fève","FEV","2016"
"Fraise","FRA","2016"
"Haricot / Flageolet","HAR","2016"
"Houblon","HBL","2016"
"Laitue / Batavia / Feuille de chêne","LBF","2016"
"Mâche","MAC","2016"
"Melon","MLO","2016"
"Autre mélange de plantes fixant l'azote","MPA","2016"
"Miscanthus","MCT","2016"
"Culture sous serre hors sol","CSS","2016"
"Taillis à courte rotation","TCR","2016"
"Truffière (chênaie de plants mycorhizés)","TRU","2016"
"Surface boisée sur une ancienne terre agricole","SBO","2016"
"Surface agricole temporairement non exploitée","SNE","2016"
"Marais salant","MRS","2016"
"Cameline","CML","2016"
"Colza d'hiver","CZH","2016"
"Colza de printemps","CZP","2016"
"Lin non textile d'hiver","LIH","2016"
"Lin non textile de printemps","LIP","2016"
"Moutarde","MOT","2016"
"Navette d'été","NVE","2016"
"Navette d'hiver","NVH","2016"
"Nyger","NYG","2016"
"Œillette","OEI","2016"
"Chanvre","CHV","2016"
"Autre céréale de genre Fagopyrum","CGF","2016"
"Autre céréale d'un autre genre *","CAG","2016"
"Mélange de céréales","MCR","2016"
"Autre plante fourragère sarclée d'un autre genre","FSG","2016"
"Autre fourrage annuel d'un autre genre *","FAG","2016"
"Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%)","CPL","2016"
"Orge de printemps","ORP","2016"
"Riz","RIZ","2016"
"Sarrasin","SRS","2016"
"Seigle d'hiver","SGH","2016"
"Seigle de printemps","SGP","2016"
"Sorgho","SOG","2016"
"Triticale d'hiver","TTH","2016"
"Triticale de printemps","TTP","2016"
"Autre céréale d'hiver de genre Avena","CHA","2016"
"Autre céréale d'hiver de genre Hordeum","CHH","2016"
"Autre céréale d'hiver de genre Secale","CHS","2016"
"Autre céréale d'hiver de genre Triticum","CHT","2016"
"Autre céréale de printemps de genre Avena","CPA","2016"
"Autre céréale de printemps de genre Hordeum","CPH","2016"
"Soja","SOJ","2016"
"Tournesol","TRN","2016"
"Autre oléagineux d'hiver d'espèce Brassica napus","OHN","2016"
"Autre oléagineux d'hiver d'espèce Brassica rapa","OHR","2016"
"Autre oléagineux de printemps d'espèce Brassica napus","OPN","2016"
"Autre oléagineux de printemps l'espèce Brassica rapa","OPR","2016"
"Autre oléagineux d'espèce Helianthus","OEH","2016"
"Autre oléagineux d'un autre genre *","OAG","2016"
"Mélange d'oléagineux","MOL","2016"
"Mauve","MAV","2016"
"Mélisse","MLI","2016"
"Menthe","MTH","2016"
"Millepertuis","MLP","2016"
"Oseille","OSE","2016"
"Pâquerette","PAQ","2016"
"Pensée","PSE","2016"
"Persil","PSL","2016"
"Plantain psyllium","PSY","2016"
"Primevère","PMV","2016"
"Psyllium noir de Provence","PSN","2016"
"Romarin","ROM","2016"
"Sariette","SRI","2016"
"Sauge","SGE","2016"
"Thym","THY","2016"
"Valériane","VAL","2016"
"Véronique","VER","2016"
"Autre PPAM annuelle","PPA","2016"
"Autre PPAM pérenne *","PPP","2016"
"Betterave fourragère","BVF","2016"
"Carotte fourragère","CAF","2016"
"Chou fourrager","CHF","2016"
"Lentille fourragère","LEF","2016"
"Navet fourrager","NVF","2016"
"Radis fourrager","RDF","2016"
"Féverole","FVL","2016"
"Jarosse déshydratée","JOD","2016"
"Lupin doux d'hiver","LDH","2016"
"Lupin doux de printemps","LDP","2016"
"Luzerne déshydratée","LUD","2016"
"Mélilot déshydraté","MED","2016"
"Pois d'hiver","PHI","2016"
"Pois de printemps","PPR","2016"
"Sainfoin déshydraté","SAD","2016"
"Bande admissible le long d'une forêt avec production","BFP","2016"
"Bande admissible le long d'une forêt sans production","BFS","2016"
"Bande tampon","BTA","2016"
"Bordure de champ","BOR","2016"
"Cultures conduites en inter- rangs 2 cultures représentant chacune plus de 25%","CID","2016"
"Cultures conduites en interrangs 3 cultures repré- sentant chacune plus de 25%","CIT","2016"
"Ananas","ANA","2016"
"Banane créole (fruit et légume) autre","BCA","2016"
"Banane créole (fruit et légume) fermage","BCF","2016"
"Banane créole (fruit et légume) - indivision","BCI","2016"
"Banane créole (fruit et légume) propriété ou faire valoir direct","BCP","2016"
"Banane créole (fruit et légume) réforme foncière","BCR","2016"
"Banane export autre","BEA","2016"
"Banane export fermage","BEF","2016"
"Banane export indivision","BEI","2016"
"Banane export propriété ou faire valoir direct","BEP","2016"
"Banane export réforme foncière","BER","2016"
"Café Cacao","CAC","2016"
"Canne à sucre autre","CSA","2016"
"Canne à sucre fermage","CSF","2016"
"Canne à sucre indivision","CSI","2016"
"Canne à sucre - propriété ou faire valoir direct","CSP","2016"
"Canne à sucre - réforme foncière","CSR","2016"
"Prairie en rotation longue (6 ans ou plus)","PRL","2016"
"Prairie permanente herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes)","PPH","2016"
"Surface pastorale ressources fourragères ligneuses prédominantes","SPL","2016"
"Surface pastorale herbe prédominante et ressources fourragères ligneuses présentes","SPH","2016"
"Bois pâturé","BOP","2016"
"Châtaigneraie entretenue par des porcins ou des petits ruminants (Corse et Petite région des causses cévenols et méridionaux)","CAE","2016"
"Chênaie entretenue par des porcins ou des petits ruminants (Corse et Petite région des causses cévenols et méridionaux)","CEE","2016"
"Roselière","Roselière","Roselière"
"Agrume","AGR","2016"
"Caroube","CAB","2016"
"Cerise bigarreau pour transformation","CBT","2016"
"Châtaigne","CTG","2016"
"Noisette","NOS","2016"
"Noix","NOX","2016"
"Oliveraie","OLI","2016"
"Pêche Pavie pour transformation","PVT","2016"
"Pépinière","PEP","2016"
"Bourrache de 5 ans ou moins","BRH","2016"
"Brôme de 5 ans ou moins","BRO","2016"
"Cresson alénois de 5 ans ou moins","CRA","2016"
"Dactyle de 5 ans ou moins","DTY","2016"
"Fétuque de 5 ans ou moins","FET","2016"
"Fléole de 5 ans ou moins","FLO","2016"
"Paturin commun de 5 ans ou moins","PAT","2016"
"Aneth","ANE","2016"
"Angélique","ANG","2016"
"Anis","ANI","2016"
"Bardane","BAR","2016"
"Basilic","BAS","2016"
"Bleuet","BLT","2016"
"Bugle rampant","BUR","2016"
"Camomille","CMM","2016"
"Carvi","CAV","2016"
"Cerfeuil","CRF","2016"
"Chardon Marie","CHR","2016"
"Ciboulette","CIB","2016"
"Coriandre","CRD","2016"
"Cumin","CUM","2016"
"Estragon","EST","2016"
"Fenouil","FNO","2016"
"Gaillet","GAI","2016"
"Lavande /Lavandin","LAV","2016"
"Marguerite","MRG","2016"
"Marjolaine / Origan","MRJ","2016"
"Lin fibres","Lin fibres","Lin fibres"
"Phacélie de 5 ans ou moins","PCL","2016"
"Ray-grass de 5 ans ou moins","RGA","2016"
"X-Festulolium de 5 ans ou moins","XFE","2016"
"Autre graminée fourragère pure de 5 ans ou moins","GFP","2016"
"Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins","MLG","2016"
"Autre prairie temporaire de 5 ans ou moins","PTR","2016"
"Jachère de 5 ans ou moins","J5M","2016"
"Jachère de 6 ans ou plus déclarée comme SIE","J6S","2016"
"Jachère de 6 ans ou plus","J6P","2016"
"Jachère noire","JNO","2016"
"Sainfoin implanté pour la récolte 2015","SA5","2016"
"Sainfoin implanté pour la récolte 2016","SA6","2016"
"Autre sainfoin","SAI","2016"
"Serradelle implantée pour la récolte 2015","SE5","2016"
"Serradelle implantée pour la récolte 2016","SE6","2016"
"Autre serradelle","SER","2016"
"Trèfle implanté pour la récolte 2015","TR5","2016"
"Trèfle implanté pour la récolte 2016","TR6","2016"
"Autre trèfle","TRE","2016"
"Vesce implantée pour la récolte 2015","VE5","2016"
"Vesce implantée pour la récolte 2016","VE6","2016"
"Autre vesce","VES","2016"
"Mélange de légumineuses fourragères * implantées pour la récolte 2015 (entre elles)","ML5","2016"
"Mélange de légumineuses fourragères * implantées pour la récolte 2016 (entre elles)","ML6","2016"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2015 et de céréales","MC5","2016"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2016 et de céréales","MC6","2016"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2015 et d'herbacées ou de graminées fourragères","MH5","2016"
"Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2016 et d'herbacées ou de graminées fourragères","MH6","2016"
"Culture sous abattis","CUA","2016"
"Curcuma","CUR","2016"
"Géranium","GER","2016"
"Horticulture ornementale de plein champ","HPC","2016"
"Horticulture ornementale sous abri","HSA","2016"
"Légume sous abri","LSA","2016"
"Plante à parfum (autre que géranium et vétiver)","PPF","2016"
"Plante aromatique (autre que vanille)","PAR","2016"
"Plante médicinale","PMD","2016"
"Tubercule tropical","TBT","2016"
"Vanille","VNL","2016"
"Vanille sous bois","VNB","2016"
"Vanille verte","VNV","2016"
"Verger (DOM)","VGD","2016"
"Vétiver","VET","2016"
"Ylang-ylang","YLA","2016"
"Autre culture non précisée dans la liste (admissible)","ACA","2016"
"Navet","NVT","2016"
"Oignon / Echalotte","OIG","2016"
"Panais","PAN","2016"
"Pastèque","PAS","2016"
"Petits pois","PPO","2016"
"Poireau","POR","2016"
"Poivron / Piment","PVP","2016"
"Pomme de terre de consommation","PTC","2016"
"Pomme de terre féculière","PTF","2016"
"Potiron / Potimarron","POT","2016"
"Radis","RDI","2016"
"Roquette","ROQ","2016"
"Rutabaga","RUT","2016"
"Salsifis","SFI","2016"
"Tabac","TAB","2016"
"Tomate","TOM","2016"
"Tomate pour transformation","TOT","2016"
"Topinambour","TOP","2016"
"Autre légume ou fruit annuel","FLA","2016"
"Autre légume ou fruit pérenne *","FLP","2016"
"Féverole fourragère implantée pour la récolte 2015","FF5","2016"
"Féverole fourragère implantée pour la récolte 2016","FF6","2016"
"Autre féverole fourragère","FFO","2016"
"Jarosse implantée pour la récolte 2015","J05","2016"
"Jarosse implantée pour la récolte 2016","J06","2016"
"Autre jarosse","JOS","2016"
"Lupin fourrager d'hiver implanté pour la récolte 2015","LH5","2016"
"Lupin fourrager d'hiver implanté pour la récolte 2016","LH6","2016"
"Autre lupin fourrager d'hiver","LFH","2016"
